Time(minutes) NodeBegin NodeEnd NrOfCars
1 1 32528070 32528074 15
1 1 32528074 32528075 14
1 1 32528075 32528076 10
1 1 32528076 34520513 10
1 2 34520513 90371608 17
1 2 90371608 90365779 20
1 2 90365779 90369173 22
1 2 90369173 248460731 24
1 2 248460731 34520514 19
1 3 32528257 34520513 18
1 3 34520513 32528076 16
1 3 32528076 32528075 16
1 3 32528075 32528074 16
1 3 32528074 32528071 1
1 4 32553122 54651426 5
1 4 54651426 54651472 6
1 4 54651472 54651470 13
1 4 54651470 54651424 14
1 4 54651424 32528257 25
1 5 32528257 32528258 18
1 5 32528258 32528259 18
1 5 32528259 32528261 18
1 5 32528261 32528260 19
1 5 32528260 32528262 18
1 5 32528262 32572235 18
1 6 32572234 254515314 14
1 6 254515314 32572235 14
1 6 32572235 32528262 11
1 6 32528262 32528260 11
1 6 32528260 32528261 11
1 6 32528261 32528259 12
1 6 32528259 32528258 13
1 6 32528258 32528257 13
1 7 32528056 90369170 12
1 7 90369170 32528041 13
1 7 32528041 90365782 13
1 7 90365782 90365778 13
1 7 90365778 32528063 13
1 8 32528061 90365784 25
1 8 90365784 32528040 23
1 8 32528040 90365767 24
1 8 90365767 32528055 30
1 9 32528066 32528078 18
1 9 32528078 32528080 18
1 9 32528080 32597389 8
1 10 32597389 32528079 17
1 10 32528079 32528077 9
1 10 32528077 32528065 3
1 11 32528072 32596645 8
1 11 32596645 32528083 21
1 11 32528083 90332394 20
1 12 90354602 221974454 33
1 12 221974454 32528082 46
1 12 32528082 32528068 47
1 13 90332394 90332400 20
1 13 90332400 90332407 20
1 13 90332407 90332411 22
1 13 90332411 90332415 23
1 13 90332415 90332417 23
1 13 90332417 90332421 23
1 13 90332421 32596650 24
1 15 32572261 32596658 3
1 15 32596658 32596657 3
1 15 32596657 32596656 5
1 15 32596656 32596655 7
1 15 32596655 32596650 8
1 14 32596650 32596655 33
1 14 32596655 32596656 29
1 14 32596656 32596657 13
1 14 32596657 32596658 2
1 14 32596658 32915597 3
1 16 32596650 90332421 5
1 16 90332421 90332417 5
1 16 90332417 90332415 5
1 16 90332415 90332411 6
1 16 90332411 90332407 8
1 16 90332407 90332400 8
1 16 90332400 90332394 9
1 17 32572235 34521674 10
1 17 34521674 34521673 10
1 18 34521673 34521658 21
1 18 34521658 34521660 18
1 18 34521660 32572236 31
1 18 32572236 32915587 1
1 19 32915588 247461208 4
1 19 247461208 32572232 9
1 19 32572232 34521676 9
1 20 34521676 34521675 8
1 20 34521675 248197964 12
1 20 248197964 32572233 18
1 20 32572233 32572234 1
1 21 32572230 32553377 4
1 21 32553377 32892164 4
1 22 32892164 248564712 2
1 22 248564712 32892152 2
1 23 32892163 32553378 18
1 23 32553378 32572229 16
1 24 32892153 32892163 22
1 25 32572228 32553127 14
1 25 32553127 32553123 15
1 25 32553123 32553122 1
1 26 32629360 32553125 7
1 26 32553125 105757851 11
1 26 105757851 32572231 11
1 27 32528048 32528059 11
1 27 32528059 32553124 9
1 27 32553124 32629360 1
1 28 34520514 248460749 6
1 28 248460749 248460747 6
1 28 248460747 32528060 18
1 28 32528060 32528047 0
1 29 32528047 32528053 2
1 29 32528053 32528056 7
1 30 32528055 32528039 21
1 30 32528039 32528038 18
1 30 32528038 32528049 19
1 31 32528055 32596188 8
1 31 32596188 32528054 10
1 31 32528054 32528045 11
1 32 32528045 254515300 14
1 32 254515300 32528046 15
1 33 32528046 32528051 6
1 33 32528051 32630187 8
1 33 32630187 32528049 16
1 34 32528048 254515301 9
1 34 254515301 32528047 9
1 35 32528050 60861982 7
1 35 60861982 32528052 9
1 35 32528052 32528048 10
1 36 32528050 32528043 5
1 36 32528043 32528042 5
1 36 32528042 32528056 6
1 37 32528046 254515299 9
1 37 254515299 32528048 9
1 38 32528047 254515298 9
1 38 254515298 32528045 9
1 39 32528045 32528058 7
1 39 32528058 32553130 8
1 39 32553130 32596164 4
1 40 32596163 32553131 17
1 40 32553131 32528057 18
1 40 32528057 32528046 0
1 41 32594635 32553383 9
1 41 32553383 32596174 0
1 42 32596175 119272631 29
1 42 119272631 32553382 30
1 42 32553382 32594634 30
1 43 32915597 32572262 11
1 43 32572262 32572263 13
1 43 32572263 32572264 13
1 43 32572264 32572235 4
1 44 32572234 255152631 11
1 44 255152631 32572237 17
1 44 32572237 32572238 18
1 44 32572238 32572239 19
1 44 32572239 32572240 20
1 45 32572240 32572241 9
1 45 32572241 32572242 12
1 45 32572242 32572243 12
1 45 32572243 248200294 13
1 45 248200294 32572244 17
1 45 32572244 255152621 18
1 45 255152621 32572245 15
1 45 32572245 165115647 15
1 45 165115647 32572246 14
1 45 32572246 32572247 15
1 45 32572247 32917757 15
1 45 32917757 32572248 28
1 45 32572248 32917758 8
1 46 32917758 32572252 27
1 46 32572252 32917756 25
1 46 32917756 32572253 30
1 46 32572253 32572254 30
1 46 32572254 32572255 33
1 46 32572255 32572256 34
1 46 32572256 32572257 32
1 46 32572257 32572258 16
1 46 32572258 32572259 6
1 46 32572259 32572260 7
1 47 32917758 32917759 8
1 48 32917759 32917758 28
1 49 32528268 260809198 10
1 49 260809198 119902638 10
1 49 119902638 255080040 11
1 49 255080040 32917759 32
1 50 32917759 255080040 18
1 50 255080040 119902638 23
1 50 119902638 260809198 22
1 50 260809198 32528268 20
1 51 32572234 32528263 6
1 51 32528263 255152630 6
1 51 255152630 32528264 0
1 51 32528264 32528265 0
1 51 32528265 32892177 0
1 51 32892177 32892162 0
1 52 32572234 32528263 0
1 52 32528263 255152630 0
1 52 255152630 32528264 0
1 52 32528264 32528265 0
1 52 32528265 32892177 0
1 52 32892177 32892162 0
1 53 32892162 32528266 1
1 53 32528266 224797838 0
1 53 224797838 32528267 2
1 53 32528267 32528268 1
1 54 32528268 32528267 10
1 54 32528267 224797838 1
1 54 224797838 32528266 4
1 54 32528266 32892162 4
1 56 32892160 248200332 15
1 56 248200332 32572883 17
1 56 32572883 32572882 17
1 56 32572882 32528268 18
1 57 32528268 32572882 11
1 57 32572882 32572883 10
1 57 32572883 248200332 12
1 57 248200332 32892160 15
1 58 32892143 32892161 14
1 58 32892161 32892156 14
1 58 32892156 32892160 14
1 59 32892160 32892156 10
1 59 32892156 32892154 3
1 60 32552930 32552931 13
1 60 32552931 32552933 15
1 60 32552933 32553129 14
1 60 32553129 32892142 14
1 61 32892142 32553380 24
1 61 32553380 32892144 27
1 62 32892141 32892140 1
1 62 32892140 32892139 2
1 62 32892139 32892138 4
1 62 32892138 32892155 5
1 62 32892155 32892137 6
1 63 252347488 248564732 4
1 63 248564732 255304621 2
1 63 255304621 32553379 3
1 63 32553379 32553128 3
1 63 32553128 32552934 3
1 63 32552934 32552929 3
1 63 32552929 31156846 4
1 64 32629352 246806023 14
1 64 246806023 32629354 15
1 64 32629354 32629356 17
1 64 32629356 32629357 2
1 65 32629259 32629258 3
1 65 32629258 32629254 3
1 65 32629254 32629253 5
1 65 32629253 60937004 3
1 65 60937004 32629352 10
1 66 32629359 32629358 11
1 66 32629358 32629355 10
1 66 32629355 105757899 9
1 66 105757899 32629353 10
1 66 32629353 60937003 11
1 67 60937003 32629255 11
1 67 32629255 32629256 7
1 67 32629256 32629257 9
1 67 32629257 32049253 9
1 68 32628970 32628972 6
1 68 32628972 32628973 7
1 68 32628973 32629262 4
1 69 32629262 32629263 7
1 69 32629263 32629264 8
1 69 32629264 32629259 7
1 70 32049253 32629252 12
1 70 32629252 32049257 13
1 70 32049257 32049255 13
1 70 32049255 39969372 13
1 70 39969372 255309042 14
1 71 255309041 32629251 3
1 71 32629251 32629265 3
1 71 32629265 39970853 3
1 71 39970853 179870584 9
1 72 31917377 32049210 12
1 72 32049210 32049254 14
1 73 39970811 32049208 16
1 73 32049208 26485673 17
1 74 32049254 32049262 5
1 74 32049262 32628966 6
1 75 32628969 32628975 18
1 75 32628975 32628976 18
1 75 32628976 32628974 15
1 76 26485625 32628649 0
1 76 32628649 32628650 0
1 76 32628650 32628651 0
1 76 32628651 32628652 3
1 76 32628652 255582542 5
1 76 255582542 32628653 6
1 76 32628653 32628654 6
1 76 32628654 32628968 6
1 77 35207199 32049270 11
1 77 32049270 32628662 13
1 77 32628662 32892125 13
1 77 32892125 32049268 13
1 77 32049268 32049266 14
1 77 32049266 35965556 15
1 78 35965556 35213263 7
1 78 35213263 32628974 8
1 78 32628974 31917379 17
1 78 31917379 31917377 6
1 79 35965556 31917345 9
1 79 31917345 31917343 11
1 79 31917343 35215099 11
1 79 35215099 31917327 13
1 79 31917327 31917328 12
1 80 27166998 26195512 0
1 80 26195512 35215097 0
1 80 35215097 31917344 0
1 80 31917344 27166995 1
1 81 27166998 31917363 15
1 81 31917363 31917367 1
1 82 31917366 31917364 19
1 82 31917364 31917362 9
1 82 31917362 31917359 5
1 82 31917359 31917357 6
1 82 31917357 31917354 7
1 82 31917354 31917351 9
1 82 31917351 31917348 16
1 83 31917328 31917329 22
1 84 31917329 31917331 15
1 84 31917331 31917332 14
1 84 31917332 31917333 14
1 85 33242035 31917346 3
1 85 31917346 248457785 3
1 85 248457785 33182645 4
1 85 33182645 31917333 3
1 86 27167006 27167004 9
1 86 27167004 27167002 9
1 86 27167002 27167000 10
1 87 27167000 27166998 15
1 88 31917352 31917355 1
1 88 31917355 31917356 1
1 88 31917356 31917360 1
1 88 31917360 31917361 1
1 89 27167006 31917350 20
1 89 31917350 33242046 20
1 90 27166995 35965554 1
1 90 35965554 27166993 13
1 90 27166993 27166991 13
1 90 27166991 35965555 14
1 91 35965555 32892124 12
1 91 32892124 32628661 12
1 91 32628661 31960181 12
1 91 31960181 35207201 14
1 91 35207201 31960182 2
1 92 35213254 35213256 1
1 92 35213256 35213261 1
1 93 35213261 35213257 5
1 93 35213257 35213265 5
1 93 35213265 35213264 5
1 93 35213264 35213258 10
1 93 35213258 35213260 10
1 93 35213260 35207202 11
1 93 35207202 35213251 37
1 93 35213251 31960182 37
1 94 31917370 33213306 22
1 94 33213306 35213253 14
1 95 35213253 35213254 1
1 96 31917367 254172535 8
1 96 254172535 254172536 10
1 96 254172536 26195454 10
1 97 31917376 33213311 9
1 97 33213311 31917370 14
1 98 31897844 31897848 19
1 98 31897848 31897847 17
1 98 31897847 255309059 16
1 98 255309059 255309055 17
1 98 255309055 180760642 17
1 98 180760642 31897846 3
1 99 31897846 32528036 12
1 99 32528036 32528037 9
1 99 32528037 32528050 9
1 100 32528049 26350113 35
1 100 26350113 26118698 32
1 100 26118698 26118697 1
1 101 26118697 255309057 24
1 101 255309057 255309060 23
1 101 255309060 26195424 22
1 101 26195424 26118472 21
1 101 26118472 26118695 2
1 102 32892149 32892150 7
1 102 32892150 248564726 8
1 102 248564726 32892157 10
1 102 32892157 255304622 10
1 102 255304622 32892151 11
1 103 32892151 255304622 23
1 103 255304622 32892157 22
1 103 32892157 248564726 23
1 103 248564726 32892150 23
1 103 32892150 32892148 3
1 104 32892135 32892158 65
1 104 32892158 32892159 65
1 104 32892159 38427859 65
1 104 38427859 32892151 58
1 105 32892151 38427860 27
1 105 38427860 38427857 29
1 105 38427857 79739486 29
1 105 79739486 79739498 30
1 105 79739498 79739503 30
1 105 79739503 38427856 29
1 105 38427856 32892135 16
1 106 32892135 32892136 17
1 106 32892136 255304602 15
1 106 255304602 32892134 16
1 106 32892134 32892629 16
1 106 32892629 255443820 16
1 106 255443820 32892133 21
1 106 32892133 33629009 22
1 107 33629009 32892133 33
1 107 32892133 255443820 33
1 107 255443820 32892629 33
