Nodes:
NodeId Latitude Longitude
26063726 52,152759 21,0174441
26063729 52,1424084 21,0176061
26063848 52,1575732 20,9913198
26063849 52,1581277 20,9920057
26063850 52,1585857 20,9922147
26063851 52,1589184 20,9923141
26063852 52,1595489 20,9923349
26063853 52,1605092 20,9922979
26063854 52,1621373 20,9922518
26063855 52,1638058 20,9921827
26063856 52,166099 20,9921502
26063857 52,1664447 20,9922273
26063858 52,1666515 20,9923941
26063859 52,1674119 20,9934185
26063860 52,1688191 20,9952756
26063861 52,1691449 20,9957378
26063862 52,1693782 20,996291
26063864 52,1695864 20,9973587
26063923 52,1708332 20,9921763
26063924 52,1707552 20,9922621
26063925 52,1706495 20,9925509
26063927 52,1703882 20,9936954
26063929 52,169808 20,9964749
26083886 52,1709738 20,9921459
26083887 52,1761224 20,9953567
26083906 52,1574341 20,9921828
26083910 52,1563174 20,9951914
26083912 52,1562024 20,9974321
26083913 52,1561028 21,0004803
26083915 52,1558199 21,0022097
26083916 52,1552302 21,0048315
26083917 52,1547162 21,0074534
26083920 52,154238 21,0108004
26083922 52,1528383 21,0170491
26083925 52,1537341 21,013414
26083926 52,151215 21,0269094
26083927 52,153798 21,0308445
26083930 52,1559457 21,0273225
26083932 52,1558159 21,0213932
26083933 52,1592682 21,0211936
26083935 52,1591942 21,0182074
26083936 52,161817 21,0181727
26083937 52,1619814 21,027214
26083938 52,1615904 21,02132
26083939 52,1615971 21,0211732
26083940 52,1615725 21,021112
26083941 52,1614176 21,0211232
26083942 52,161393 21,0212533
26083944 52,161461 21,0213966
26083945 52,16168 21,0214994
26083946 52,1617838 21,0220895
26083947 52,1617608 21,0207713
26083949 52,1755487 20,9980578
26083950 52,1749501 21,0006593
26083951 52,1750077 21,0016953
26083953 52,1760219 21,0025824
26084602 52,1643512 21,0268287
26084647 52,1560197 21,0265291
26084648 52,1557156 21,0279347
26118464 52,1527636 21,0189722
26118465 52,1519507 21,0231557
26118466 52,1783404 20,9967241
26118467 52,179973 20,9976626
26118468 52,1803347 20,997731
26118469 52,1832675 20,9976221
26118470 52,2176626 21,0064434
26118471 52,2187056 21,0063973
26118472 52,2187364 21,0048612
26118473 52,21867 21,0089212
26118474 52,2105449 21,0068467
26118475 52,2090655 20,998797
26118476 52,2064758 20,9992665
26118477 52,203512 21,0001806
26118478 52,197862 21,0016571
26118479 52,1963039 21,0021068
26118480 52,1955778 21,0022295
26118482 52,1944499 21,0018921
26118484 52,1913084 21,0019848
26118486 52,1873306 21,0022334
26118488 52,1832864 21,0023535
26118675 52,1777898 21,0212955
26118676 52,1733306 21,0197611
26118677 52,1702053 21,018662
26118678 52,1667978 21,017521
26118679 52,1641393 21,0172731
26118680 52,1597856 21,0172706
26118682 52,1798455 21,0211535
26118683 52,1822849 21,0204218
26118684 52,1842139 21,019758
26118685 52,1878063 21,017646
26118686 52,1923418 21,0152551
26118687 52,196094 21,0134369
26118688 52,1997694 21,0117257
26118689 52,2043729 21,0095639
26118690 52,2081667 21,0077513
26118695 52,2175001 21,0049503
26118696 52,213123 21,006051
26118697 52,2229875 21,004636
26118698 52,2240228 21,0039924
26118699 52,1661888 21,0187266
26118700 52,1665453 21,0166683
