Time IDCar NodeBegin NodeEnd Distance Velocity Latitude Longitude
5 777731 31156950 31156949 0,164 5,404 52,130332731829 21,1958937514487
5 777940 31156950 31156949 0,156 4,053 52,1302728953426 21,1959444744217
5 778017 31156950 31156949 0,156 5,404 52,1302728953426 21,1959444744217
5 778082 31156950 31156949 0,149 4,053 52,1302130588561 21,1959951973946
5 778107 32049282 32049280 0,071 23,08 52,2257067664357 21,0500358933765
5 778172 132225956 59842186 0,021 2,714 52,1733105720027 20,8392156243451
5 778177 31156950 31156949 0,149 5,404 52,1302130588561 21,1959951973946
5 778190 32320937 33199595 0,074 0 52,2086228658748 21,0141718320996
5 778237 32675474 32675472 0,104 1,358 52,1124794768128 21,111030765286
5 778347 31156950 31156949 0,141 4,053 52,1301532223696 21,1960459203676
5 778451 132460751 27282383 0,180 21,32 52,14523516759 20,9099618281584
5 778495 99350016 251881722 0,053 15,39 52,2188913386703 21,0945661129502
5 778558 31718366 31718331 0,119 13,10 52,1537198506593 20,9202076547148
5 778690 132460751 27282383 0,059 10,90 52,144391064328 20,9088506604383
5 778818 31156950 31156949 0,141 5,404 52,1301532223696 21,1960459203676
5 778842 35975940 252343345 0,150 27,29 52,2679418101955 21,0012180599473
5 778953 31156950 31156949 0,134 11,07 52,1300933858831 21,1960966433406
5 778962 131642290 131642292 0,214 11,36 52,2545148735509 21,1544211455594
5 779084 32675474 32675472 0,097 1,358 52,1124230949947 21,1110921774072
5 779162 201867156 32601859 0,030 9,905 52,2019142372611 20,9712451630671
5 779294 251774709 60054506 0,213 11,36 52,3396829001856 20,9557593461129
5 779306 131642290 131642292 0,211 10,94 52,2545293524226 21,1544459603516
5 779422 31718366 31718331 0,119 12,59 52,1537198506593 20,9202076547148
5 779462 253181910 27282448 0,108 19,67 52,1167116119007 20,8629519931924
5 779475 251774709 60054506 0,119 1,361 52,3403674620734 20,9549657101747
5 779479 201867156 32601859 0,062 4,324 52,2017742548292 20,971651808205
5 779503 34461526 254611758 0,089 11,70 52,241146146924 21,1347205787235
5 779568 132225956 59842186 0,089 0 52,1733362220027 20,838222281488
5 779686 32675474 32675472 0,097 1,358 52,1124230949947 21,1110921774072
5 779912 216205665 252338939 0,179 12,17 52,3574168747667 21,1333943141395
5 779959 35988349 27166983 0,095 17,41 52,2236115351047 21,0410655641299
5 780059 31156924 31156925 0,129 48,67 52,1804977493208 21,1370591052527
5 780347 34555050 252408161 0,049 9,071 52,2568754446838 20,9481776968628
5 780603 132225956 59842186 0,021 2,714 52,1733105720027 20,8392156243451
5 780656 32675474 32675472 0,066 8,933 52,1121975677219 21,111337825892
5 780702 32333980 32215286 0,097 39,72 52,2053289463668 21,0798299968328
5 780762 251774709 60054506 0,102 24,21 52,3404964443781 20,954816176591
5 780780 132225956 59842186 0,089 0 52,1733362220027 20,838222281488
5 781078 32675474 32675472 0,066 9,511 52,1121975677219 21,111337825892
5 781118 132225956 59842186 0,014 2,714 52,1733077220027 20,8393259957737
5 781137 216205665 252338939 0,069 10 52,3582978055079 21,134120261945
5 781196 31156950 31156949 0,216 5,404 52,1307515872344 21,1955386906379
5 781310 252338966 34813430 0,097 1,362 52,3478733145684 21,1256642216032
5 781344 31156950 31156949 0,134 4,053 52,1300933858831 21,1960966433406
5 781409 251774709 60054506 0,210 10,88 52,3397021593707 20,9557370182828
5 781601 32333980 32215286 0,105 39,72 52,2052943096479 21,0797336451004
5 781722 31156924 31156925 0,136 48,67 52,1804470437294 21,1371320924537
5 781738 31156950 31156949 0,209 4,053 52,130691750748 21,1955894136109
5 781843 31156950 31156949 0,209 5,404 52,130691750748 21,1955894136109
5 781846 31156950 31156949 0,201 4,053 52,1306319142615 21,1956401365838
5 781887 207561458 207561462 0,065 12,02 52,3077492776665 20,9842360597759
5 782039 251774709 60054506 0,205 11,36 52,3397383420775 20,9556950704372
5 782137 34678002 97964818 0,134 7,453 52,2388750175436 20,9454546953056
5 782529 32690965 32690955 0,059 12,63 52,1737827276479 21,1533135524406
5 782552 31156950 31156949 0,201 5,404 52,1306319142615 21,1956401365838
5 782752 32675474 32675472 0,059 10,32 52,1121411859037 21,1113992380133
5 782800 216205665 252338939 0,171 12,17 52,3574771852429 21,1334440141395
5 782827 252338966 34813430 0,183 11,36 52,3485618385462 21,126232888091
5 782875 31803703 33810540 0,135 17,32 52,201553089218 21,0236576784531
5 783041 31718366 31718331 0,021 8,186 52,1531550006593 20,9213133859648
5 783354 31156950 31156949 0,194 4,053 52,130572077775 21,1956908595568
5 783443 216205665 252338939 0,081 12,17 52,3582009109571 21,1340404141395
