Time Name NodeBegin NodeEnd Velocity NrOfCars
60 31156945_31156947 31156945 31156947 59,42 1
60 27167600_27167599 27167600 27167599 68,03 9
60 36663554_36663553 36663554 36663553 55,81 4
60 34555050_252408161 34555050 252408161 81,18 8
60 34816514_34816516 34816514 34816516 81,37 1
60 31930544_31930533 31930544 31930533 57,86 7
60 36307573_36307574 36307573 36307574 47,71 2
60 31153918_252343340 31153918 252343340 82,83 2
60 32528050_32528037 32528050 32528037 56,57 1
60 32675842_32675840 32675842 32675840 65 0
60 28396135_32529959 28396135 32529959 48,20 1
60 32333980_32215286 32333980 32215286 71,46 7
60 34696733_34696730 34696733 34696730 60,80 24
60 132460751_27282383 132460751 27282383 48,57 91
60 251774709_60054506 251774709 60054506 59,73 73
60 32601849_32601847 32601849 32601847 52,07 3
60 252338817_216205781 252338817 216205781 63,18 1
60 34461446_34461444 34461446 34461444 71,24 35
60 254531306_254531307 254531306 254531307 58,27 5
60 253167893_253167894 253167893 253167894 77,97 4
60 252341855_34555652 252341855 34555652 42,52 3
60 34554753_34554755 34554753 34554755 55,82 1
60 131642290_131642292 131642290 131642292 51,69 35
60 251907737_26485601 251907737 26485601 65,15 12
60 32676754_32676755 32676754 32676755 52,04 1
60 55461850_26385831 55461850 26385831 72,78 8
60 27167174_34815626 27167174 34815626 89,36 6
60 35159250_35159252 35159250 35159252 85 0
60 36662877_27166975 36662877 27166975 81,43 9
60 32690965_32690955 32690965 32690955 60,04 32
60 35988349_27166983 35988349 27166983 76,65 24
60 34678020_34678019 34678020 34678019 62,03 11
60 252338966_34813430 252338966 34813430 59,00 71
60 251852560_34522515 251852560 34522515 7,057 9
60 31156666_252406520 31156666 252406520 81,82 5
60 34461526_254611758 34461526 254611758 54,04 64
60 261212841_261212839 261212841 261212839 71,88 11
60 34555059_252341930 34555059 252341930 78,40 9
60 216205665_252338939 216205665 252338939 47,67 75
60 251881964_27166951 251881964 27166951 60,82 6
60 32572883_32572882 32572883 32572882 62,22 11
60 132225956_59842186 132225956 59842186 10,63 56
60 32675474_32675472 32675474 32675472 48,94 82
60 258495253_258499924 258495253 258499924 49,74 3
60 32320937_33199595 32320937 33199595 30,99 4
60 35980955_35966858 35980955 35966858 39,96 20
60 259412303_259412293 259412303 259412293 72,17 8
60 32333962_32333963 32333962 32333963 44,19 3
60 31156924_31156925 31156924 31156925 60,95 10
60 261070705_261070706 261070705 261070706 63,35 7
60 34523712_34523711 34523712 34523711 64,23 25
60 34533187_209094332 34533187 209094332 59,44 24
60 32627805_38428535 32627805 38428535 53,82 5
60 31718366_31718331 31718366 31718331 4,115 37
60 252338828_216205914 252338828 216205914 65 0
60 252406516_84843008 252406516 84843008 63,49 2
60 32629251_32629265 32629251 32629265 70,37 1
60 36266781_36266773 36266781 36266773 65 0
60 31803703_33810540 31803703 33810540 62,91 8
60 31156660_34678010 31156660 34678010 75,96 12
60 34678002_97964818 34678002 97964818 63,18 24
60 32335043_26515509 32335043 26515509 10,74 23
60 99350016_251881722 99350016 251881722 68,35 20
60 26118690_254513587 26118690 254513587 3,709 19
60 32594635_32553383 32594635 32553383 69,68 6
60 31807244_252025700 31807244 252025700 69,26 1
60 31158725_212881026 31158725 212881026 69,39 4
60 27166924_27166922 27166924 27166922 73,35 2
60 32049282_32049280 32049282 32049280 84,42 41
60 209167552_209167555 209167552 209167555 73,74 1
60 201867156_32601859 201867156 32601859 56,92 10
60 254526173_254526132 254526173 254526132 63,46 3
60 59842203_59842200 59842203 59842200 45,47 85
60 59842210_252417594 59842210 252417594 57,75 81
60 34678024_34678023 34678024 34678023 58,98 11
60 247810696_252907846 247810696 252907846 58,83 2
60 253181910_27282448 253181910 27282448 83,85 2
60 207561458_207561462 207561458 207561462 58,94 4
60 35969470_35969472 35969470 35969472 78,59 16
60 34539001_252340039 34539001 252340039 68,63 20
60 29167829_27166897 29167829 27166897 66,52 19
60 32021985_32021986 32021985 32021986 65 0
60 32892124_32628661 32892124 32628661 79,71 6
60 27167104_27167105 27167104 27167105 76,90 3
60 254531334_254531335 254531334 254531335 50,43 1
60 32528049_32528038 32528049 32528038 70 0
60 254526110_254526091 254526110 254526091 63,26 10
60 32528082_32528068 32528082 32528068 61,45 23
60 206358265_206358237 206358265 206358237 65 0
60 31156950_31156949 31156950 31156949 59,53 74
60 31158851_34819772 31158851 34819772 38,06 5
60 257441139_32676762 257441139 32676762 58,79 17
60 32320949_32627809 32320949 32627809 41,68 2
60 32320963_32320965 32320963 32320965 55,56 3
60 32912934_32598967 32912934 32598967 8,432 16
60 32334001_32333999 32334001 32333999 73,51 3
60 35975940_252343345 35975940 252343345 87,94 12
60 34522494_34522484 34522494 34522484 59,44 7
60 32333989_41060238 32333989 41060238 68,02 9
60 52808302_52808298 52808302 52808298 55,52 13
60 Wawelska 30901479 32329842 39,04 1
60 Wawelska 32329842 32329843 45,02 2
60 Wawelska 32329843 54094101 43,66 3
60 Wawelska 54094101 32329844 31,98 4
60 Wawelska 32329844 32329845 61,02 4
60 Wawelska 32329845 32329846 64,95 5
60 Wawelska 32329846 32329847 63,86 7
60 Wawelska 32329847 32329848 79,91 8
60 Wawelska 32329848 32329849 62,78 9
60 Wawelska 32329849 32329852 20,21 9
60 Wawelska 32329852 32329851 1,446 7
