Time(minutes) Node
360 26405552_26063726
360 252025882_26083926
360 251907216_26083937
360 26195424_26118472
360 254513586_26118474
360 33391584_26118478
360 254513592_26118479
360 26118675_26118676
360 33767615_26118687
360 31897787_26118687
360 26118472_26118695
360 26118698_26118697
360 251907734_26118704
360 26118704_26118705
360 251907735_26118706
360 26386082_26118712
360 260816775_26195346
360 33739729_26195346
360 26308867_26195390
360 26195418_26195390
360 26458757_26195418
360 255309060_26195424
360 254172536_26195454
360 253931225_26195478
360 253932248_26195485
360 31717945_26195490
360 26118464_26195490
360 26195507_26195502
360 31807253_26195502
360 26195502_26195507
360 252025769_26195523
360 26195537_26195530
360 33739743_26308848
360 26311034_26308848
360 26308850_26308849
360 33767622_26308862
360 26308868_26308867
360 26311022_26311020
360 26311026_26311022
360 251943219_26311023
360 26311023_26311027
360 32049212_26311029
360 254294603_26311032
360 254296465_26311034
360 26405568_26385831
360 26386054_26386057
360 247807136_26386058
360 26195410_26386059
360 26386061_26386059
360 26386055_26386060
360 33703088_26386060
360 26386060_26386061
360 31908323_26386066
360 26386073_26386075
360 26118710_26386083
360 26485664_26386092
360 26195546_26405552
360 26195490_26405552
360 254489383_26405553
360 251943896_26405554
360 251946721_26405557
360 26405565_26405562
360 26405563_26405565
360 248885127_26405566
360 26385831_26405568
360 26195390_26458748
360 32049137_26458751
360 257704697_26458751
360 26386059_26458757
360 31907522_26458758
360 251907737_26485601
360 251907928_26485602
360 251963462_26485603
360 251963477_26485604
360 32320928_26485605
360 251963502_26485606
360 26485606_26485607
360 254721431_26485608
360 32320977_26485612
360 32320961_26485612
360 251950200_26485616
360 254700145_26485616
360 255443749_26485623
360 26485623_26485624
360 26485624_26485625
360 26485652_26485651
360 251946778_26485651
360 251946749_26485652
360 26485654_26485653
360 254491534_26485654
360 26386092_26485664
360 32676775_26485669
360 31908312_26486135
360 26515338_26515330
360 26515346_26515338
360 32321004_26515496
360 26515499_26515503
360 30895843_26515507
360 26515513_26515507
360 30895844_26515509
360 32335043_26515509
360 30895845_26515511
360 31156301_26515513
360 43338382_26909492
360 26966288_26909494
360 27166884_27166883
360 27166885_27166884
360 27166886_27166885
360 27166899_27166898
360 32689268_27166906
360 27166938_27166940
360 27166940_27166942
360 36662077_27166977
360 35966616_27166981
360 35967065_27166981
360 35965554_27166993
360 27167008_27167006
360 30902333_27167021
360 27167025_27167023
360 27167027_27167025
360 27167029_27167027
360 27167038_27167036
360 27167036_27167038
360 255309073_27167042
360 27167040_27167042
360 32329851_27167042
360 255309073_27167044
360 32329850_27167044
360 27167046_27167044
360 27167048_27167046
360 31156751_27167053
360 253169142_27167059
360 27167066_27167064
360 253169142_27167064
360 27167064_27167066
360 27167093_27167094
360 27167094_27167095
360 27167103_27167095
360 27167095_27167096
360 27167096_27167097
360 27167097_27167098
360 27167136_27167099
360 27167099_27167100
360 27167100_27167101
360 27167101_27167102
360 27167102_27167103
360 27167098_27167132
360 27167104_27167135
360 27167135_27167136
360 253168582_27167148
360 253168577_27167149
360 27167151_27167150
360 253168567_27167150
360 27167152_27167151
360 33210615_27167153
360 251283172_27167154
360 27167161_27167160
360 27167163_27167162
360 253168921_27167169
360 32049430_27167169
360 261063317_27167175
360 27167177_27167176
360 27167178_27167177
360 246561640_27167178
360 35159207_27167184
360 27167185_27167184
360 27167186_27167185
360 27167187_27167186
360 27167188_27167187
360 27167189_27167188
360 31174060_27167561
360 27167567_27167561
360 253166891_27167561
360 27167561_27167567
360 27167129_27167567
360 27167567_27167571
360 31174060_27167572
360 169598467_27167593
360 35231818_27167608
360 27167620_27167611
360 27167624_27167612
360 27167665_27167664
360 252166038_27167664
360 27167667_27167665
360 27167669_27167667
360 27167670_27167669
360 27167710_27167670
360 27167690_27167689
360 27167689_27167690
360 27167694_27167695
360 27167712_27167710
360 179695095_27167714
360 32608568_27282272
360 194122002_27282293
360 27282295_27282294
360 27282296_27282295
360 27282376_27282365
360 27282377_27282376
360 27282378_27282377
360 27282379_27282378
360 27282380_27282379
360 27282381_27282380
360 98840328_27282381
360 27282383_27282382
360 132460751_27282383
360 27282385_27282384
360 34557672_27282385
