Time(minutes) NodeBegin NodeEnd NrOfCars
1 31156945_31156947 31156945 31156947 6
1 27167600_27167599 27167600 27167599 46
1 36663554_36663553 36663554 36663553 9
1 34555050_252408161 34555050 252408161 32
1 34816514_34816516 34816514 34816516 12
1 31930544_31930533 31930544 31930533 24
1 36307573_36307574 36307573 36307574 9
1 31153918_252343340 31153918 252343340 3
1 32528050_32528037 32528050 32528037 1
1 32675842_32675840 32675842 32675840 2
1 28396135_32529959 28396135 32529959 7
1 32333980_32215286 32333980 32215286 91
1 34696733_34696730 34696733 34696730 34
1 132460751_27282383 132460751 27282383 184
1 251774709_60054506 251774709 60054506 254
1 32601849_32601847 32601849 32601847 11
1 252338817_216205781 252338817 216205781 2
1 34461446_34461444 34461446 34461444 143
1 254531306_254531307 254531306 254531307 9
1 253167893_253167894 253167893 253167894 14
1 252341855_34555652 252341855 34555652 31
1 34554753_34554755 34554753 34554755 7
1 131642290_131642292 131642290 131642292 35
1 251907737_26485601 251907737 26485601 45
1 32676754_32676755 32676754 32676755 5
1 55461850_26385831 55461850 26385831 16
1 27167174_34815626 27167174 34815626 64
1 35159250_35159252 35159250 35159252 0
1 36662877_27166975 36662877 27166975 17
1 32690965_32690955 32690965 32690955 174
1 35988349_27166983 35988349 27166983 82
1 34678020_34678019 34678020 34678019 22
1 252338966_34813430 252338966 34813430 281
1 251852560_34522515 251852560 34522515 8
1 31156666_252406520 31156666 252406520 28
1 34461526_254611758 34461526 254611758 240
1 261212841_261212839 261212841 261212839 12
1 34555059_252341930 34555059 252341930 23
1 216205665_252338939 216205665 252338939 353
1 251881964_27166951 251881964 27166951 16
1 32572883_32572882 32572883 32572882 21
1 132225956_59842186 132225956 59842186 44
1 32675474_32675472 32675474 32675472 108
1 258495253_258499924 258495253 258499924 6
1 32320937_33199595 32320937 33199595 10
1 35980955_35966858 35980955 35966858 27
1 259412303_259412293 259412303 259412293 62
1 32333962_32333963 32333962 32333963 14
1 31156924_31156925 31156924 31156925 89
1 261070705_261070706 261070705 261070706 17
1 34523712_34523711 34523712 34523711 131
1 34533187_209094332 34533187 209094332 76
1 32627805_38428535 32627805 38428535 15
1 31718366_31718331 31718366 31718331 49
1 252338828_216205914 252338828 216205914 2
1 252406516_84843008 252406516 84843008 11
1 32629251_32629265 32629251 32629265 4
1 36266781_36266773 36266781 36266773 2
1 31803703_33810540 31803703 33810540 24
1 31156660_34678010 31156660 34678010 40
1 34678002_97964818 34678002 97964818 88
1 32335043_26515509 32335043 26515509 31
1 99350016_251881722 99350016 251881722 83
1 26118690_254513587 26118690 254513587 24
1 32594635_32553383 32594635 32553383 15
1 31807244_252025700 31807244 252025700 5
1 31158725_212881026 31158725 212881026 14
1 27166924_27166922 27166924 27166922 12
1 32049282_32049280 32049282 32049280 204
1 209167552_209167555 209167552 209167555 4
1 201867156_32601859 201867156 32601859 32
1 254526173_254526132 254526173 254526132 13
1 59842203_59842200 59842203 59842200 202
1 59842210_252417594 59842210 252417594 164
1 34678024_34678023 34678024 34678023 24
1 247810696_252907846 247810696 252907846 4
1 253181910_27282448 253181910 27282448 5
1 207561458_207561462 207561458 207561462 23
1 35969470_35969472 35969470 35969472 38
1 34539001_252340039 34539001 252340039 83
1 29167829_27166897 29167829 27166897 32
1 32021985_32021986 32021985 32021986 9
1 32892124_32628661 32892124 32628661 24
1 27167104_27167105 27167104 27167105 10
1 254531334_254531335 254531334 254531335 1
1 32528049_32528038 32528049 32528038 0
1 254526110_254526091 254526110 254526091 12
1 32528082_32528068 32528082 32528068 64
1 206358265_206358237 206358265 206358237 4
1 31156950_31156949 31156950 31156949 84
1 31158851_34819772 31158851 34819772 10
1 257441139_32676762 257441139 32676762 36
1 32320949_32627809 32320949 32627809 1
1 32320963_32320965 32320963 32320965 41
1 32912934_32598967 32912934 32598967 21
1 32334001_32333999 32334001 32333999 24
1 35975940_252343345 35975940 252343345 90
1 34522494_34522484 34522494 34522484 69
1 32333989_41060238 32333989 41060238 50
1 52808302_52808298 52808302 52808298 42
1 Wawelska 30901479 32329842 14
1 Wawelska 32329842 32329843 14
1 Wawelska 32329843 54094101 15
1 Wawelska 54094101 32329844 15
1 Wawelska 32329844 32329845 15
1 Wawelska 32329845 32329846 15
1 Wawelska 32329846 32329847 16
1 Wawelska 32329847 32329848 17
1 Wawelska 32329848 32329849 18
1 Wawelska 32329849 32329852 11
1 Wawelska 32329852 32329851 5
2 31156945_31156947 31156945 31156947 17
2 27167600_27167599 27167600 27167599 60
2 36663554_36663553 36663554 36663553 1
2 34555050_252408161 34555050 252408161 32
2 34816514_34816516 34816514 34816516 33
2 31930544_31930533 31930544 31930533 2
2 36307573_36307574 36307573 36307574 27
2 31153918_252343340 31153918 252343340 2
2 32528050_32528037 32528050 32528037 0
2 32675842_32675840 32675842 32675840 39
2 28396135_32529959 28396135 32529959 9
2 32333980_32215286 32333980 32215286 103
2 34696733_34696730 34696733 34696730 22
2 132460751_27282383 132460751 27282383 139
2 251774709_60054506 251774709 60054506 89
2 32601849_32601847 32601849 32601847 12
2 252338817_216205781 252338817 216205781 2
2 34461446_34461444 34461446 34461444 141
