Nodes:    
Node_id Latitude Longitude  
26063726 52.1528 21.0174  
26063729 52.1424 21.0176  
26063848 52.1576 20.9913  
26063849 52.1581 20.9920  
26063850 52.1586 20.9922  
26063851 52.1589 20.9923  
26063852 52.1595 20.9923  
26063853 52.1605 20.9923  
26063854 52.1621 20.9923  
26063855 52.1638 20.9922  
26063856 52.1661 20.9922  
26063857 52.1664 20.9922  
26063858 52.1667 20.9924  
26063859 52.1674 20.9934  
26063860 52.1688 20.9953  
26063861 52.1691 20.9957  
26063862 52.1694 20.9963  
26063864 52.1696 20.9974  
26063923 52.1708 20.9922  
26063924 52.1708 20.9923  
26063925 52.1706 20.9926  
26063927 52.1704 20.9937  
26063929 52.1698 20.9965  
26083886 52.1710 20.9921  
26083887 52.1761 20.9954  
26083906 52.1574 20.9922  
26083910 52.1563 20.9952  
26083912 52.1562 20.9974  
26083913 52.1561 21.0005  
26083915 52.1558 21.0022  
26083916 52.1552 21.0048  
26083917 52.1547 21.0075  
26083920 52.1542 21.0108  
26083922 52.1528 21.0170  
26083925 52.1537 21.0134  
26083926 52.1512 21.0269  
26083927 52.1538 21.0308  
26083930 52.1559 21.0273  
26083932 52.1558 21.0214  
26083933 52.1593 21.0212  
26083935 52.1592 21.0182  
26083936 52.1618 21.0182  
26083937 52.1620 21.0272  
26083938 52.1616 21.0213  
26083939 52.1616 21.0212  
26083940 52.1616 21.0211  
26083941 52.1614 21.0211  
26083942 52.1614 21.0213  
26083944 52.1615 21.0214  
26083945 52.1617 21.0215  
26083946 52.1618 21.0221  
26083947 52.1618 21.0208  
26083949 52.1755 20.9981  
26083950 52.1750 21.0007  
26083951 52.1750 21.0017  
26083953 52.1760 21.0026  
26084602 52.1644 21.0268  
26084647 52.1560 21.0265  
26084648 52.1557 21.0279  
26118464 52.1528 21.0190  
26118465 52.1520 21.0232  
26118466 52.1783 20.9967  
26118467 52.1800 20.9977  
26118468 52.1803 20.9977  
26118469 52.1833 20.9976  
26118470 52.2177 21.0064  
26118471 52.2187 21.0064  
26118472 52.2187 21.0049  
26118473 52.2187 21.0089  
26118474 52.2105 21.0068  
26118475 52.2091 20.9988  
26118476 52.2065 20.9993  
26118477 52.2035 21.0002  
26118478 52.1979 21.0017  
26118479 52.1963 21.0021  
26118480 52.1956 21.0022  
26118482 52.1944 21.0019  
26118484 52.1913 21.0020  
26118486 52.1873 21.0022  
26118488 52.1833 21.0024  
26118675 52.1778 21.0213  
26118676 52.1733 21.0198  
26118677 52.1702 21.0187  
26118678 52.1668 21.0175  
26118679 52.1641 21.0173  
26118680 52.1598 21.0173  
26118682 52.1798 21.0212  
26118683 52.1823 21.0204  
26118684 52.1842 21.0198  
26118685 52.1878 21.0176  
26118686 52.1923 21.0153  
26118687 52.1961 21.0134  
26118688 52.1998 21.0117  
26118689 52.2044 21.0096  
26118690 52.2082 21.0078  
26118695 52.2175 21.0050  
26118696 52.2131 21.0061  
26118697 52.2230 21.0046  
26118698 52.2240 21.0040  
26118699 52.1662 21.0187  
26118700 52.1665 21.0167  
26118703 52.1661 21.0247  
26118704 52.1660 21.0257  
26118705 52.1659 21.0260  
26118706 52.1655 21.0264  
26118707 52.1652 21.0266  
26118708 52.1675 21.0141  
26118709 52.1689 21.0113  
26118710 52.1707 21.0076  
26118711 52.1724 21.0043  
26118712 52.1741 21.0030  
26118713 52.1731 21.0037  
26118714 52.1658 21.0173  
26195346 52.1890 21.0022  
26195349 52.1888 20.9928  
26195355 52.1892 20.9891  
26195361 52.1889 20.9905  
26195369 52.1890 20.9896  
26195377 52.1855 20.9928  
26195382 52.1856 20.9976  
26195390 52.1780 21.0026  
26195396 52.1792 20.9972  
26195403 52.1787 20.9995  
26195410 52.1784 21.0008  
26195418 52.1780 21.0024  
26195424 52.2201 21.0048  
26195448 52.2200 21.0120  
26195454 52.2127 21.0178  
26195459 52.2121 21.0155  
26195464 52.2116 21.0127  
26195471 52.2110 21.0095  
26195478 52.1969 20.9929  
